OBJECTID,UCS,UCS_F,UCS_TIPO,DEPARTAMENTO,PAISAJE,CLIMA,TIPO_RELIEVE,LITOLOGIA,CARACTERISTICAS,PERFILES,AREA_ha,SHAPE_Leng,NUM_SUELOS,SUELO1,SUELO2,SUELO3,SUELO4,SUELO5,SUELO6,PORC1,PORC2,PORC3,PORC4,PORC5,PORC6
232,RVD,RVDa,Asociacion,Guaviare,Planicie_aluvial,Calido_humedo,Terrazas_medias,Sedimentos_de_poco_espesor_recubriendo_arcillolitas_del_Terciario,Moderadamente profundos y profundos; texturas medias a finas; bien y moderadamente bien drenados; muy alta saturacion de aluminio; reaccion fuerte a muy fuertemente acida. Fertilidad natural muy baja a media,G-24; G-16; GV-42; G-19,8273314248,1802323,4,Oxyaquic_Dystrudepts,Oxic_Humudepts,Typic_Hapludults,Fluventic_Humudepts,NA,NA,30,30,30,10,NA,NA
233,LVA,LVAb,Consociacion,Guaviare,Lomerio_estructural,Calido_humedo,Ondulaciones_(superficies_ligeramente_planas_y_planos_inclinados),Arcillolitas_y_limolitas_del_Terciario_con_presencia_localizada_de_corazas_y_gravillas_petroferricas,"Profundos, algunos moderadamente profundos, limitados por nivel freatico; bien a imperfectamente drenados, texturas finas, capacidad de intercambio cationico media, saturacion de aluminio muy alta, reaccion extremadamente acida. Fertilidad natural ba",GV-02; GV-51; GV-76; GV-79; GV-29; G-29; GV-77,3948797991,7097295696,4,Oxic_Dystrudepts,Inceptic_Hapludox,Typic_Hapludox,Oxyaquic_Dystrudepts,NA,NA,60,25,10,5,NA,NA
234,LVA,LVAa,Consociacion,Guaviare,Lomerio_estructural,Calido_humedo,Ondulaciones_(superficies_ligeramente_planas_y_planos_inclinados),Arcillolitas_y_limolitas_del_Terciario_con_presencia_localizada_de_corazas_y_gravillas_petroferricas,"Profundos, algunos moderadamente profundos, limitados por nivel freatico; bien a imperfectamente drenados, texturas finas, capacidad de intercambio cationico media, saturacion de aluminio muy alta, reaccion extremadamente acida. Fertilidad natural ba",GV-02; GV-51; GV-76; GV-79; GV-29; G-29; GV-77,331650761,1153492305,4,Oxic_Dystrudepts,Inceptic_Hapludox,Typic_Hapludox,Oxyaquic_Dystrudepts,NA,NA,60,25,10,5,NA,NA
235,LVA,LVAa,Consociacion,Guaviare,Lomerio_estructural,Calido_humedo,Ondulaciones_(superficies_ligeramente_planas_y_planos_inclinados),Arcillolitas_y_limolitas_del_Terciario_con_presencia_localizada_de_corazas_y_gravillas_petroferricas,"Profundos, algunos moderadamente profundos, limitados por nivel freatico; bien a imperfectamente drenados, texturas finas, capacidad de intercambio cationico media, saturacion de aluminio muy alta, reaccion extremadamente acida. Fertilidad natural ba",GV-02; GV-51; GV-76; GV-79; GV-29; G-29; GV-77,1239805325,2426217058,4,Oxic_Dystrudepts,Inceptic_Hapludox,Typic_Hapludox,Oxyaquic_Dystrudepts,NA,NA,60,25,10,5,NA,NA
236,LVD,LVDc,Asociacion,Guaviare,Lomerio_estructural,Calido_humedo,Lomas,Arcillolitas_del_Terciario_con_presencia_localizada_de_corazas_y_gravillas_petroferricas,"Moderadamente profundos y profundos, limitados por gravillas y corazas petroferricas; bien drenados, con texturas medias a finas; saturacion de aluminio alta a muy alta, reaccion muy fuertemente acida. Fertilidad natural muy baja",GV;39; GV-67; GV-27; GV-11; GV-13; GV-81; GV-47; GV-48; G-01; G-09; G-08; G-06; GV-54,3479927851,4055521005,5,Oxic_Dystrudepts,Typic_Dystrudepts,Typic_Hapludox,Fluventic_Dystrudepts,Typic_Durudepts,NA,30,30,20,10,10,NA
237,LVD,LVDd1,Asociacion,Guaviare,Lomerio_estructural,Calido_humedo,Lomas,Arcillolitas_del_Terciario_con_presencia_localizada_de_corazas_y_gravillas_petroferricas,"Moderadamente profundos y profundos, limitados por gravillas y corazas petroferricas; bien drenados, con texturas medias a finas; saturacion de aluminio alta a muy alta, reaccion muy fuertemente acida. Fertilidad natural muy baja",GV;39; GV-67; GV-27; GV-11; GV-13; GV-81; GV-47; GV-48; G-01; G-09; G-08; G-06; GV-54,6639309678,130495197,5,Oxic_Dystrudepts,Typic_Dystrudepts,Typic_Hapludox,Fluventic_Dystrudepts,Typic_Durudepts,NA,30,30,20,10,10,NA
238,LVD,LVDc,Asociacion,Guaviare,Lomerio_estructural,Calido_humedo,Lomas,Arcillolitas_del_Terciario_con_presencia_localizada_de_corazas_y_gravillas_petroferricas,"Moderadamente profundos y profundos, limitados por gravillas y corazas petroferricas; bien drenados, con texturas medias a finas; saturacion de aluminio alta a muy alta, reaccion muy fuertemente acida. Fertilidad natural muy baja",GV;39; GV-67; GV-27; GV-11; GV-13; GV-81; GV-47; GV-48; G-01; G-09; G-08; G-06; GV-54,1775537322,3872708687,5,Oxic_Dystrudepts,Typic_Dystrudepts,Typic_Hapludox,Fluventic_Dystrudepts,Typic_Durudepts,NA,30,30,20,10,10,NA
239,LVD,LVDc,Asociacion,Guaviare,Lomerio_estructural,Calido_humedo,Lomas,Arcillolitas_del_Terciario_con_presencia_localizada_de_corazas_y_gravillas_petroferricas,"Moderadamente profundos y profundos, limitados por gravillas y corazas petroferricas; bien drenados, con texturas medias a finas; saturacion de aluminio alta a muy alta, reaccion muy fuertemente acida. Fertilidad natural muy baja",GV;39; GV-67; GV-27; GV-11; GV-13; GV-81; GV-47; GV-48; G-01; G-09; G-08; G-06; GV-54,1750260796,2473800251,5,Oxic_Dystrudepts,Typic_Dystrudepts,Typic_Hapludox,Fluventic_Dystrudepts,Typic_Durudepts,NA,30,30,20,10,10,NA
240,LVD,LVDc,Asociacion,Guaviare,Lomerio_estructural,Calido_humedo,Lomas,Arcillolitas_del_Terciario_con_presencia_localizada_de_corazas_y_gravillas_petroferricas,"Moderadamente profundos y profundos, limitados por gravillas y corazas petroferricas; bien drenados, con texturas medias a finas; saturacion de aluminio alta a muy alta, reaccion muy fuertemente acida. Fertilidad natural muy baja",GV;39; GV-67; GV-27; GV-11; GV-13; GV-81; GV-47; GV-48; G-01; G-09; G-08; G-06; GV-54,3634855129,5985393474,5,Oxic_Dystrudepts,Typic_Dystrudepts,Typic_Hapludox,Fluventic_Dystrudepts,Typic_Durudepts,NA,30,30,20,10,10,NA
241,LVH,LVHai,Grupo_Indiferenciado,Guaviare,Lomerio_erosional,Calido_humedo,Valles_estrechos_con_influencia_coluvioaluvial,Sedimentos_finos_y_medios_desaturados,"Profundos y superficiales, limitados por nivel freatico; bien y pobremente drenados; texturas finas y medias; saturacion de aluminio muy alta; reaccion muy fuerte a extremadamente acidos. Fertilidad natural baja",GV-52; GV-82; GV-66; GV-83; G-34; G-31; GV-18; GV-71; GV-26,4670614656,2889670404,6,Fluventic_Dystrudepts,Oxic_Dystrudepts,Fluvaquentic_Endoaquepts,Typic_Fluvaquents,Typic_Hapludox,Typic_Endoaquerts,25,25,20,20,5,5
