OBJECTID,UCS,UCS_F,UCS_TIPO,DEPARTAMENTO,PAISAJE,CLIMA,TIPO_RELIEVE,LITOLOGIA,CARACTERISTICAS,PERFILES,AREA_ha,SHAPE_Leng,NUM_SUELOS,SUELO1,SUELO2,SUELO3,SUELO4,SUELO5,SUELO6,PORC1,PORC2,PORC3,PORC4,PORC5,PORC6
1,RVD,RVDa,Asociacion,Guaviare,Planicie_aluvial,Calido_humedo,Terrazas_medias,Sedimentos_de_poco_espesor_recubriendo_arcillolitas_del_Terciario,Moderadamente profundos y profundos; texturas medias a finas; bien y moderadamente bien drenados; muy alta saturacion de aluminio; reaccion fuerte a muy fuertemente acida. Fertilidad natural muy baja a media,G-24; G-16; GV-42; G-19,5922212122,4906678019,4,Oxyaquic_Dystrudepts,Oxic_Humudepts,Typic_Hapludults,Fluventic_Humudepts,NA,NA,30,30,30,10,NA,NA
2,LVH,LVHai,Grupo_Indiferenciado,Guaviare,Lomerio_erosional,Calido_humedo,Valles_estrechos_con_influencia_coluvioaluvial,Sedimentos_finos_y_medios_desaturados,"Profundos y superficiales, limitados por nivel freatico; bien y pobremente drenados; texturas finas y medias; saturacion de aluminio muy alta; reaccion muy fuerte a extremadamente acidos. Fertilidad natural baja",GV-52; GV-82; GV-66; GV-83; G-34; G-31; GV-18; GV-71; GV-26,9579278658,5355442434,6,Fluventic_Dystrudepts,Oxic_Dystrudepts,Fluvaquentic_Endoaquepts,Typic_Fluvaquents,Typic_Hapludox,Typic_Endoaquerts,25,25,20,20,5,5
3,LVH,LVHai,Grupo_Indiferenciado,Guaviare,Lomerio_erosional,Calido_humedo,Valles_estrechos_con_influencia_coluvioaluvial,Sedimentos_finos_y_medios_desaturados,"Profundos y superficiales, limitados por nivel freatico; bien y pobremente drenados; texturas finas y medias; saturacion de aluminio muy alta; reaccion muy fuerte a extremadamente acidos. Fertilidad natural baja",GV-52; GV-82; GV-66; GV-83; G-34; G-31; GV-18; GV-71; GV-26,6087049486,3250265279,6,Fluventic_Dystrudepts,Oxic_Dystrudepts,Fluvaquentic_Endoaquepts,Typic_Fluvaquents,Typic_Hapludox,Typic_Endoaquerts,25,25,20,20,5,5
4,RVD,RVDa,Asociacion,Guaviare,Planicie_aluvial,Calido_humedo,Terrazas_medias,Sedimentos_de_poco_espesor_recubriendo_arcillolitas_del_Terciario,Moderadamente profundos y profundos; texturas medias a finas; bien y moderadamente bien drenados; muy alta saturacion de aluminio; reaccion fuerte a muy fuertemente acida. Fertilidad natural muy baja a media,G-24; G-16; GV-42; G-19,1254356035,1928648032,4,Oxyaquic_Dystrudepts,Oxic_Humudepts,Typic_Hapludults,Fluventic_Humudepts,NA,NA,30,30,30,10,NA,NA
5,RVC,RVCai,Asociacion,Guaviare,Planicie_aluvial,Calido_humedo,Terrazas_bajas,Sedimentos_aluviales_subrecientes,"Profundos y moderadamente superficiales, limitados por nivel freatico; texturas moderadamente gruesas a moderadamente finas; imperfecta a muy pobremente drenados, con frecuentes inundaciones y/o encharcamientos; baja a muy alta saturacion de aluminio;",GV-38; GV-68; GV-87; G-41; SJ-28; GV-16; SJ-23; GV-70; G-15; GV-14; G-21; GV-15,6931125175,7511532028,6,Oxyaquic_Dystrudepts,Fluventic_Dystrudepts,Fluvaquentic_Eutrudepts,Typic_Endoaquepts,Fluvaquentic_Humaquepts,Typic_Humudepts,40,20,20,10,5,5
6,LVC,LVCb,Complejo,Guaviare,Lomerio_estructural,Calido_humedo,Ondulaciones_(superficies_planas_y_planos_inclinados),Arcillolitas_y_limolitas_del_Terciario_con_presencia_localizada_de_corazas_y_gravillas_petroferricas,"Profundos, bien drenados, con texturas finas y medias; saturacion de aluminio muy alta; reaccion extremadamente acida. La fertilidad natural es muy baja",GV-07; GV-60; GV-61; G-05; G-30; G-32; IN-12; GV-34;GV-57;G-25; GV-12; GV-03;GV-64; G-11; G-33; G-36; GV-01; GV-31; GV-80,3030079977,1189147713,6,Oxic_Dystrudepts,Typic_Hapludox,Typic_Dystrudepts,Inceptic_Hapludox,Typic_Udorthents,Typic_Kandiudults,30,30,20,10,5,5
7,LVA,LVAb,Consociacion,Guaviare,Lomerio_estructural,Calido_humedo,Ondulaciones_(superficies_ligeramente_planas_y_planos_inclinados),Arcillolitas_y_limolitas_del_Terciario_con_presencia_localizada_de_corazas_y_gravillas_petroferricas,"Profundos, algunos moderadamente profundos, limitados por nivel freatico; bien a imperfectamente drenados, texturas finas, capacidad de intercambio cationico media, saturacion de aluminio muy alta, reaccion extremadamente acida. Fertilidad natural ba",GV-02; GV-51; GV-76; GV-79; GV-29; G-29; GV-77,657462218,1967067723,4,Oxic_Dystrudepts,Inceptic_Hapludox,Typic_Hapludox,Oxyaquic_Dystrudepts,NA,NA,60,25,10,5,NA,NA
8,LVA,LVAa,Consociacion,Guaviare,Lomerio_estructural,Calido_humedo,Ondulaciones_(superficies_ligeramente_planas_y_planos_inclinados),Arcillolitas_y_limolitas_del_Terciario_con_presencia_localizada_de_corazas_y_gravillas_petroferricas,"Profundos, algunos moderadamente profundos, limitados por nivel freatico; bien a imperfectamente drenados, texturas finas, capacidad de intercambio cationico media, saturacion de aluminio muy alta, reaccion extremadamente acida. Fertilidad natural ba",GV-02; GV-51; GV-76; GV-79; GV-29; G-29; GV-77,1772540645,6902449897,4,Oxic_Dystrudepts,Inceptic_Hapludox,Typic_Hapludox,Oxyaquic_Dystrudepts,NA,NA,60,25,10,5,NA,NA
9,LVC,LVCb,Complejo,Guaviare,Lomerio_estructural,Calido_humedo,Ondulaciones_(superficies_planas_y_planos_inclinados),Arcillolitas_y_limolitas_del_Terciario_con_presencia_localizada_de_corazas_y_gravillas_petroferricas,"Profundos, bien drenados, con texturas finas y medias; saturacion de aluminio muy alta; reaccion extremadamente acida. La fertilidad natural es muy baja",GV-07; GV-60; GV-61; G-05; G-30; G-32; IN-12; GV-34;GV-57;G-25; GV-12; GV-03;GV-64; G-11; G-33; G-36; GV-01; GV-31; GV-80,6796262004,1794965473,6,Oxic_Dystrudepts,Typic_Hapludox,Typic_Dystrudepts,Inceptic_Hapludox,Typic_Udorthents,Typic_Kandiudults,30,30,20,10,5,5
10,LVF,LVFe2,Asociacion,Guaviare,Lomerio_erosional,Calido_humedo,Colinas,Rocas_igneas_(sienita_nefelinica),"Profundos y moderadamente profundos; bien drenados; texturas medias a finas; saturacion de aluminio de baja a muy alta; reaccion extremadamente acida, algunos ligeramente alcalinos. Fertilidad natural moderada a baja",G-02; GV-30,785246705,1609245456,3,Dystric_Eutrudepts,Typic_Hapludox,Lithic_Udorthents,NA,NA,NA,50,35,15,NA,NA,NA
11,ZVB,ZVBd1,Asociacion,Guaviare,Macizo,Calido_humedo,Lomas,Rocas_de_origen_sedimentario_(areniscas_cuarzosas),"Profundos y superficiales, limitados por roca compacta; bien drenados, texturas gruesas; saturacion de aluminio muy alta; reaccion muy fuerte a extremadamente acida. Fertilidad natural muy baja",GV-84; G-22; IN-7; GV-56,2969042598,1396313333,3,Typic_Udorthents,Lithic_Udorthents,Typic_Udipsamments,NA,NA,NA,40,30,30,NA,NA,NA
12,LVD,LVDd1,Asociacion,Guaviare,Lomerio_estructural,Calido_humedo,Lomas,Arcillolitas_del_Terciario_con_presencia_localizada_de_corazas_y_gravillas_petroferricas,"Moderadamente profundos y profundos, limitados por gravillas y corazas petroferricas; bien drenados, con texturas medias a finas; saturacion de aluminio alta a muy alta, reaccion muy fuertemente acida. Fertilidad natural muy baja",GV-39; GV-67; GV-27; GV-11; GV-13; GV-81; GV-47; GV-48; G-01; G-09; G-08; G-06; GV-54,2660362603,3490716861,5,Oxic_Dystrudepts,Typic_Dystrudepts,Typic_Hapludox,Fluventic_Dystrudepts,Typic_Durudepts,NA,30,30,20,10,10,NA
13,LVC,LVCb,Complejo,Guaviare,Lomerio_estructural,Calido_humedo,Ondulaciones_(superficies_planas_y_planos_inclinados),Arcillolitas_y_limolitas_del_Terciario_con_presencia_localizada_de_corazas_y_gravillas_petroferricas,"Profundos, bien drenados, con texturas finas y medias; saturacion de aluminio muy alta; reaccion extremadamente acida. La fertilidad natural es muy baja",GV-07; GV-60; GV-61; G-05; G-30; G-32; IN-12; GV-34;GV-57;G-25; GV-12; GV-03;GV-64; G-11; G-33; G-36; GV-01; GV-31; GV-80,1384027613,286105789,6,Oxic_Dystrudepts,Typic_Hapludox,Typic_Dystrudepts,Inceptic_Hapludox,Typic_Udorthents,Typic_Kandiudults,30,30,20,10,5,5
14,LVD,LVDc,Asociacion,Guaviare,Lomerio_estructural,Calido_humedo,Lomas,Arcillolitas_del_Terciario_con_presencia_localizada_de_corazas_y_gravillas_petroferricas,"Moderadamente profundos y profundos, limitados por gravillas y corazas petroferricas; bien drenados, con texturas medias a finas; saturacion de aluminio alta a muy alta, reaccion muy fuertemente acida. Fertilidad natural muy baja",GV-39; GV-67; GV-27; GV-11; GV-13; GV-81; GV-47; GV-48; G-01; G-09; G-08; G-06; GV-54,6064141856,1592264671,5,Oxic_Dystrudepts,Typic_Dystrudepts,Typic_Hapludox,Fluventic_Dystrudepts,Typic_Durudepts,NA,30,30,20,10,10,NA
15,RVB,RVBai,Complejo,Guaviare,Planicie_aluvial,Calido_humedo,Plano_de_inundacion,Sedimentos_aluviales_recientes,"Superficiales, limitados por nivel freatico; texturas finas a medias; pobre a muy pobremente drenados, con frecuentes inundaciones y/o encharcamientos; baja a alta saturacion de aluminio; reaccion fuerte a muy fuertemente acida, fertilidad media a ba",G-40; G-38; GV-40,199603549,241448392,3,Typic_Fluvaquents,Fluvaquentic_Endoaquepts,Vertic_Endoaquepts,NA,NA,NA,40,30,30,NA,NA,NA
16,ZVB,ZVBd1,Asociacion,Guaviare,Macizo,Calido_humedo,Lomas,Rocas_de_origen_sedimentario_(areniscas_cuarzosas),"Profundos y superficiales, limitados por roca compacta; bien drenados, texturas gruesas; saturacion de aluminio muy alta; reaccion muy fuerte a extremadamente acida. Fertilidad natural muy baja",GV-84; G-22; IN-7; GV-56,1960939389,1504581753,3,Typic_Udorthents,Lithic_Udorthents,Typic_Udipsamments,NA,NA,NA,40,30,30,NA,NA,NA
17,RVB,RVBai,Complejo,Guaviare,Planicie_aluvial,Calido_humedo,Plano_de_inundacion,Sedimentos_aluviales_recientes,"Superficiales, limitados por nivel freatico; texturas finas a medias; pobre a muy pobremente drenados, con frecuentes inundaciones y/o encharcamientos; baja a alta saturacion de aluminio; reaccion fuerte a muy fuertemente acida, fertilidad media a ba",G-40; G-38; GV-40,4186703013,4147437211,3,Typic_Fluvaquents,Fluvaquentic_Endoaquepts,Vertic_Endoaquepts,NA,NA,NA,40,30,30,NA,NA,NA
18,LVA,LVAa,Consociacion,Guaviare,Lomerio_estructural,Calido_humedo,Ondulaciones_(superficies_ligeramente_planas_y_planos_inclinados),Arcillolitas_y_limolitas_del_Terciario_con_presencia_localizada_de_corazas_y_gravillas_petroferricas,"Profundos, algunos moderadamente profundos, limitados por nivel freatico; bien a imperfectamente drenados, texturas finas, capacidad de intercambio cationico media, saturacion de aluminio muy alta, reaccion extremadamente acida. Fertilidad natural ba",GV-02; GV-51; GV-76; GV-79; GV-29; G-29; GV-77,1403638541,5505461653,4,Oxic_Dystrudepts,Inceptic_Hapludox,Typic_Hapludox,Oxyaquic_Dystrudepts,NA,NA,60,25,10,5,NA,NA
19,ZVD,ZVDg,Consociacion,Guaviare,Macizo,Calido_humedo,Escarpes_y_afloramientos_rocosos,Rocas_sedimentarias_(arenisca_cuarzosas),Areas con diferentes grado de pendiente donde predominan los afloramientos rocosos,NA,120066041,2798401484,1,MiscelÃ¡neo_rocoso,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,LVD,LVDc,Asociacion,Guaviare,Lomerio_estructural,Calido_humedo,Lomas,Arcillolitas_del_Terciario_con_presencia_localizada_de_corazas_y_gravillas_petroferricas,"Moderadamente profundos y profundos, limitados por gravillas y corazas petroferricas; bien drenados, con texturas medias a finas; saturacion de aluminio alta a muy alta, reaccion muy fuertemente acida. Fertilidad natural muy baja",GV;39; GV-67; GV-27; GV-11; GV-13; GV-81; GV-47; GV-48; G-01; G-09; G-08; G-06; GV-54,4590979829,1555406673,5,Oxic_Dystrudepts,Typic_Dystrudepts,Typic_Hapludox,Fluventic_Dystrudepts,Typic_Durudepts,NA,30,30,20,10,10,NA
21,RVC,RVCai,Asociacion,Guaviare,Planicie_aluvial,Calido_humedo,Terrazas_bajas,Sedimentos_aluviales_subrecientes,"Profundos y moderadamente superficiales, limitados por nivel freatico; texturas moderadamente gruesas a moderadamente finas; imperfecta a muy pobremente drenados, con frecuentes inundaciones y/o encharcamientos; baja a muy alta saturacion de aluminio;",GV-38; GV-68; GV-87; G-41; SJ-28; GV-16; SJ-23; GV-70; G-15; GV-14; G-21; GV-15,5536720777,1310517788,6,Oxyaquic_Dystrudepts,Fluventic_Dystrudepts,Fluvaquentic_Eutrudepts,Typic_Endoaquepts,Fluvaquentic_Humaquepts,Typic_Humudepts,40,20,20,10,5,5
22,ZVA,ZVAa,Grupo_Indiferenciado,Guaviare,Macizo,Calido_humedo,Mesas_y_cuestas,Rocas_de_origen_sedimentario_(areniscas_cuarzosas),"Profundos y muy superficiales, limitados por roca compacta; bien drenados; texturas gruesas; capacidad de intercambio cationico muy baja; saturacion de aluminio alta a muy alta; reaccion muy fuerte a extremadamente acida. Fertilidad natural muy baja",GV-78; SJ-27; GV-28; GV-32; GV-33; GV-85; ---,1293925555,3576149868,5,Typic_Udorthents,Oxic_Dystrudepts,Typic_Udipsamments,Lithic_Udorthents,Afloramientos_rocosos,NA,30,20,20,20,10,NA
23,LVD,LVDd1,Asociacion,Guaviare,Lomerio_estructural,Calido_humedo,Lomas,Arcillolitas_del_Terciario_con_presencia_localizada_de_corazas_y_gravillas_petroferricas,"Moderadamente profundos y profundos, limitados por gravillas y corazas petroferricas; bien drenados, con texturas medias a finas; saturacion de aluminio alta a muy alta, reaccion muy fuertemente acida. Fertilidad natural muy baja",GV;39; GV-67; GV-27; GV-11; GV-13; GV-81; GV-47; GV-48; G-01; G-09; G-08; G-06; GV-54,1291105311,5153339333,5,Oxic_Dystrudepts,Typic_Dystrudepts,Typic_Hapludox,Fluventic_Dystrudepts,Typic_Durudepts,NA,30,30,20,10,10,NA
24,LVC,LVCb,Complejo,Guaviare,Lomerio_estructural,Calido_humedo,Ondulaciones_(superficies_planas_y_planos_inclinados),Arcillolitas_y_limolitas_del_Terciario_con_presencia_localizada_de_corazas_y_gravillas_petroferricas,"Profundos, bien drenados, con texturas finas y medias; saturacion de aluminio muy alta; reaccion extremadamente acida. La fertilidad natural es muy baja",GV-07; GV-60; GV-61; G-05; G-30; G-32; IN-12; GV-34;GV-57;G-25; GV-12; GV-03;GV-64; G-11; G-33; G-36; GV-01; GV-31; GV-80,1235123731,261245083,6,Oxic_Dystrudepts,Typic_Hapludox,Typic_Dystrudepts,Inceptic_Hapludox,Typic_Udorthents,Typic_Kandiudults,30,30,20,10,5,5
25,ZVB,ZVBc,Asociacion,Guaviare,Macizo,Calido_humedo,Lomas,Rocas_de_origen_sedimentario_(areniscas_cuarzosas),"Profundos y superficiales, limitados por roca compacta; bien drenados, texturas gruesas; saturacion de aluminio muy alta; reaccion muy fuerte a extremadamente acida. Fertilidad natural muy baja",GV-84; G-22; IN-7; GV-56,7147083281,2331623886,3,Typic_Udorthents,Lithic_Udorthents,Typic_Udipsamments,NA,NA,NA,40,30,30,NA,NA,NA
26,LVH,LVHai,Grupo_Indiferenciado,Guaviare,Lomerio_erosional,Calido_humedo,Valles_estrechos_con_influencia_coluvioaluvial,Sedimentos_finos_y_medios_desaturados,"Profundos y superficiales, limitados por nivel freatico; bien y pobremente drenados; texturas finas y medias; saturacion de aluminio muy alta; reaccion muy fuerte a extremadamente acidos. Fertilidad natural baja",GV-52; GV-82; GV-66; GV-83; G-34; G-31; GV-18; GV-71; GV-26,2081045536,1246650439,6,Fluventic_Dystrudepts,Oxic_Dystrudepts,Fluvaquentic_Endoaquepts,Typic_Fluvaquents,Typic_Hapludox,Typic_Endoaquerts,25,25,20,20,5,5
27,LVA,LVAa,Consociacion,Guaviare,Lomerio_estructural,Calido_humedo,Ondulaciones_(superficies_ligeramente_planas_y_planos_inclinados),Arcillolitas_y_limolitas_del_Terciario_con_presencia_localizada_de_corazas_y_gravillas_petroferricas,"Profundos, algunos moderadamente profundos, limitados por nivel freatico; bien a imperfectamente drenados, texturas finas, capacidad de intercambio cationico media, saturacion de aluminio muy alta, reaccion extremadamente acida. Fertilidad natural ba",GV-02; GV-51; GV-76; GV-79; GV-29; G-29; GV-77,3081666095,1657099788,4,Oxic_Dystrudepts,Inceptic_Hapludox,Typic_Hapludox,Oxyaquic_Dystrudepts,NA,NA,60,25,10,5,NA,NA
28,ZVB,ZVBc,Asociacion,Guaviare,Macizo,Calido_humedo,Lomas,Rocas_de_origen_sedimentario_(areniscas_cuarzosas),"Profundos y superficiales, limitados por roca compacta; bien drenados, texturas gruesas; saturacion de aluminio muy alta; reaccion muy fuerte a extremadamente acida. Fertilidad natural muy baja",GV-84; G-22; IN-7; GV-56,7294383653,2739625707,3,Typic_Udorthents,Lithic_Udorthents,Typic_Udipsamments,NA,NA,NA,40,30,30,NA,NA,NA
29,LVD,LVDd1,Asociacion,Guaviare,Lomerio_estructural,Calido_humedo,Lomas,Arcillolitas_del_Terciario_con_presencia_localizada_de_corazas_y_gravillas_petroferricas,"Moderadamente profundos y profundos, limitados por gravillas y corazas petroferricas; bien drenados, con texturas medias a finas; saturacion de aluminio alta a muy alta, reaccion muy fuertemente acida. Fertilidad natural muy baja",GV;39; GV-67; GV-27; GV-11; GV-13; GV-81; GV-47; GV-48; G-01; G-09; G-08; G-06; GV-54,3256488198,2474388038,5,Oxic_Dystrudepts,Typic_Dystrudepts,Typic_Hapludox,Fluventic_Dystrudepts,Typic_Durudepts,NA,30,30,20,10,10,NA
30,ZVC,ZVCc,Consociacion,Guaviare,Macizo,Calido_humedo,Glacis,Sedimentos_coluviales_mixtos,"Profundos, bien drenados; texturas medias; saturacion de aluminio muy alta; reaccion muy fuerte a extremadamente acida. Fertilidad natural muy baja",G-13; G-14; G-28; G-17; G-27,2774336914,1047257945,3,Fluventic_Humudepts,Fluventic_Dystrudepts,Fluventic_Humic_Dystrudepts,NA,NA,NA,50,30,15,5,NA,NA
31,ZVB,ZVBd1,Asociacion,Guaviare,Macizo,Calido_humedo,Lomas,Rocas_de_origen_sedimentario_(areniscas_cuarzosas),"Profundos y superficiales, limitados por roca compacta; bien drenados, texturas gruesas; saturacion de aluminio muy alta; reaccion muy fuerte a extremadamente acida. Fertilidad natural muy baja",GV-84; G-22; IN-7; GV-56,1395287432,8652716243,3,Typic_Udorthents,Lithic_Udorthents,Typic_Udipsamments,NA,NA,NA,40,30,30,NA,NA,NA
32,RVC,RVCai,Asociacion,Guaviare,Planicie_aluvial,Calido_humedo,Terrazas_bajas,Sedimentos_aluviales_subrecientes,"Profundos y moderadamente superficiales, limitados por nivel freatico; texturas moderadamente gruesas a moderadamente finas; imperfecta a muy pobremente drenados, con frecuentes inundaciones y/o encharcamientos; baja a muy alta saturacion de aluminio;",GV-38; GV-68; GV-87; G-41; SJ-28; GV-16; SJ-23; GV-70; G-15; GV-14; G-21; GV-15,4823809873,1363915162,6,Oxyaquic_Dystrudepts,Fluventic_Dystrudepts,Fluvaquentic_Eutrudepts,Typic_Endoaquepts,Fluvaquentic_Humaquepts,Typic_Humudepts,40,20,20,10,5,5
33,LVA,LVAa,Consociacion,Guaviare,Lomerio_estructural,Calido_humedo,Ondulaciones_(superficies_ligeramente_planas_y_planos_inclinados),Arcillolitas_y_limolitas_del_Terciario_con_presencia_localizada_de_corazas_y_gravillas_petroferricas,"Profundos, algunos moderadamente profundos, limitados por nivel freatico; bien a imperfectamente drenados, texturas finas, capacidad de intercambio cationico media, saturacion de aluminio muy alta, reaccion extremadamente acida. Fertilidad natural ba",GV-02; GV-51; GV-76; GV-79; GV-29; G-29; GV-77,1973695174,276674333,4,Oxic_Dystrudepts,Inceptic_Hapludox,Typic_Hapludox,Oxyaquic_Dystrudepts,NA,NA,60,25,10,5,NA,NA
34,ZVC,ZVCc,Consociacion,Guaviare,Macizo,Calido_humedo,Glacis,Sedimentos_coluviales_mixtos,"Profundos, bien drenados; texturas medias; saturacion de aluminio muy alta; reaccion muy fuerte a extremadamente acida. Fertilidad natural muy baja",G-13; G-14; G-28; G-17; G-27,1240530131,2536723456,3,Fluventic_Humudepts,Fluventic_Dystrudepts,Fluventic_Humic_Dystrudepts,NA,NA,NA,50,30,15,5,NA,NA
35,LVD,LVDc,Asociacion,Guaviare,Lomerio_estructural,Calido_humedo,Lomas,Arcillolitas_del_Terciario_con_presencia_localizada_de_corazas_y_gravillas_petroferricas,"Moderadamente profundos y profundos, limitados por gravillas y corazas petroferricas; bien drenados, con texturas medias a finas; saturacion de aluminio alta a muy alta, reaccion muy fuertemente acida. Fertilidad natural muy baja",GV;39; GV-67; GV-27; GV-11; GV-13; GV-81; GV-47; GV-48; G-01; G-09; G-08; G-06; GV-54,1002781908,2811370386,5,Oxic_Dystrudepts,Typic_Dystrudepts,Typic_Hapludox,Fluventic_Dystrudepts,Typic_Durudepts,NA,30,30,20,10,10,NA
36,LVH,LVHai,Grupo_Indiferenciado,Guaviare,Lomerio_erosional,Calido_humedo,Valles_estrechos_con_influencia_coluvioaluvial,Sedimentos_finos_y_medios_desaturados,"Profundos y superficiales, limitados por nivel freatico; bien y pobremente drenados; texturas finas y medias; saturacion de aluminio muy alta; reaccion muy fuerte a extremadamente acidos. Fertilidad natural baja",GV-52; GV-82; GV-66; GV-83; G-34; G-31; GV-18; GV-71; GV-26,2123288448,739534392,6,Fluventic_Dystrudepts,Oxic_Dystrudepts,Fluvaquentic_Endoaquepts,Typic_Fluvaquents,Typic_Hapludox,Typic_Endoaquerts,25,25,20,20,5,5
37,RVC,RVCai,Asociacion,Guaviare,Planicie_aluvial,Calido_humedo,Terrazas_bajas,Sedimentos_aluviales_subrecientes,"Profundos y moderadamente superficiales, limitados por nivel freatico; texturas moderadamente gruesas a moderadamente finas; imperfecta a muy pobremente drenados, con frecuentes inundaciones y/o encharcamientos; baja a muy alta saturacion de aluminio;",GV-38; GV-68; GV-87; G-41; SJ-28; GV-16; SJ-23; GV-70; G-15; GV-14; G-21; GV-15,6916889919,1340091669,6,Oxyaquic_Dystrudepts,Fluventic_Dystrudepts,Fluvaquentic_Eutrudepts,Typic_Endoaquepts,Fluvaquentic_Humaquepts,Typic_Humudepts,40,20,20,10,5,5
38,LVH,LVHai,Grupo_Indiferenciado,Guaviare,Lomerio_erosional,Calido_humedo,Valles_estrechos_con_influencia_coluvioaluvial,Sedimentos_finos_y_medios_desaturados,"Profundos y superficiales, limitados por nivel freatico; bien y pobremente drenados; texturas finas y medias; saturacion de aluminio muy alta; reaccion muy fuerte a extremadamente acidos. Fertilidad natural baja",GV-52; GV-82; GV-66; GV-83; G-34; G-31; GV-18; GV-71; GV-26,1052186498,1050361965,6,Fluventic_Dystrudepts,Oxic_Dystrudepts,Fluvaquentic_Endoaquepts,Typic_Fluvaquents,Typic_Hapludox,Typic_Endoaquerts,25,25,20,20,5,5
39,ZVB,ZVBc,Asociacion,Guaviare,Macizo,Calido_humedo,Lomas,Rocas_de_origen_sedimentario_(areniscas_cuarzosas),"Profundos y superficiales, limitados por roca compacta; bien drenados, texturas gruesas; saturacion de aluminio muy alta; reaccion muy fuerte a extremadamente acida. Fertilidad natural muy baja",GV-84; G-22; IN-7; GV-56,4749255926,73402842,3,Typic_Udorthents,Lithic_Udorthents,Typic_Udipsamments,NA,NA,NA,40,30,30,NA,NA,NA
40,ZVA,ZVAb,Grupo_Indiferenciado,Guaviare,Macizo,Calido_humedo,Mesas_y_cuestas,Rocas_de_origen_sedimentario_(areniscas_cuarzosas),"Profundos y muy superficiales, limitados por roca compacta; bien drenados; texturas gruesas; capacidad de intercambio cationico muy baja; saturacion de aluminio alta a muy alta; reaccion muy fuerte a extremadamente acida. Fertilidad natural muy baja",GV-78; SJ-27; GV-28; GV-32; GV-33; GV-85; ---,1570206256,4599886222,5,Typic_Udorthents,Oxic_Dystrudepts,Typic_Udipsamments,Lithic_Udorthents,Afloramientos_rocosos,NA,30,20,20,20,10,NA
41,RVB,RVBai,Complejo,Guaviare,Planicie_aluvial,Calido_humedo,Plano_de_inundacion,Sedimentos_aluviales_recientes,"Superficiales, limitados por nivel freatico; texturas finas a medias; pobre a muy pobremente drenados, con frecuentes inundaciones y/o encharcamientos; baja a alta saturacion de aluminio; reaccion fuerte a muy fuertemente acida, fertilidad media a ba",G-40; G-38; GV-40,6211918504,5708258535,3,Typic_Fluvaquents,Fluvaquentic_Endoaquepts,Vertic_Endoaquepts,NA,NA,NA,40,30,30,NA,NA,NA
42,RVA,RVAai,Asociacion,Guaviare,Planicie_aluvial,Calido_humedo,Plano_de_inundacion,Sedimentos_aluviales_recientes,"Moderadamente profundos y superficiales limitados por nivel freatico; texturas medias a moderadamente finas; pobre a imperfectamente bien drenados, con frecuentes inundaciones y/o encharcamientos; baja a media saturacion de aluminio; reaccion fuerte a",GV-86; G-39; G-37,3574083788,2084703671,3,Fluvaquentic_Eutrudepts,Aeric_Endoaquepts,Fluvaquentic_Endoaquepts,NA,NA,NA,40,30,30,NA,NA,NA
43,RVC,RVCai,Asociacion,Guaviare,Planicie_aluvial,Calido_humedo,Terrazas_bajas,Sedimentos_aluviales_subrecientes,"Profundos y moderadamente superficiales, limitados por nivel freatico; texturas moderadamente gruesas a moderadamente finas; imperfecta a muy pobremente drenados, con frecuentes inundaciones y/o encharcamientos; baja a muy alta saturacion de aluminio;",GV-38; GV-68; GV-87; G-41; SJ-28; GV-16; SJ-23; GV-70; G-15; GV-14; G-21; GV-15,3262910525,1010071297,6,Oxyaquic_Dystrudepts,Fluventic_Dystrudepts,Fluvaquentic_Eutrudepts,Typic_Endoaquepts,Fluvaquentic_Humaquepts,Typic_Humudepts,40,20,20,10,5,5
44,LVH,LVHai,Grupo_Indiferenciado,Guaviare,Lomerio_erosional,Calido_humedo,Valles_estrechos_con_influencia_coluvioaluvial,Sedimentos_finos_y_medios_desaturados,"Profundos y superficiales, limitados por nivel freatico; bien y pobremente drenados; texturas finas y medias; saturacion de aluminio muy alta; reaccion muy fuerte a extremadamente acidos. Fertilidad natural baja",GV-52; GV-82; GV-66; GV-83; G-34; G-31; GV-18; GV-71; GV-26,4226943428,2305272268,6,Fluventic_Dystrudepts,Oxic_Dystrudepts,Fluvaquentic_Endoaquepts,Typic_Fluvaquents,Typic_Hapludox,Typic_Endoaquerts,25,25,20,20,5,5
45,RVC,RVCai,Asociacion,Guaviare,Planicie_aluvial,Calido_humedo,Terrazas_bajas,Sedimentos_aluviales_subrecientes,"Profundos y moderadamente superficiales, limitados por nivel freatico; texturas moderadamente gruesas a moderadamente finas; imperfecta a muy pobremente drenados, con frecuentes inundaciones y/o encharcamientos; baja a muy alta saturacion de aluminio;",GV-38; GV-68; GV-87; G-41; SJ-28; GV-16; SJ-23; GV-70; G-15; GV-14; G-21; GV-15,2884180252,8912007505,6,Oxyaquic_Dystrudepts,Fluventic_Dystrudepts,Fluvaquentic_Eutrudepts,Typic_Endoaquepts,Fluvaquentic_Humaquepts,Typic_Humudepts,40,20,20,10,5,5
